1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
19007,08333;18005,89236;16996,35813;15978,41112;14951,98121;13916,99772;12873,38937;11821,08428;10760,00998;9690,093396;8611,260841;7523,438014;6426,549998;5320,521248;4205,275592;3080,736221;1946,82569;803,4659041;0;0;0;0;0;0;;;;;;;;;;;;
28661,875;27312,59896;25952,07895;24580,22127;23196,93145;21802,11421;20395,6735;18977,51244;17547,53338;16105,63783;14651,72647;13185,6992;11707,45502;10216,89215;8713,907915;7198,398815;5670,260471;4129,387642;2575,674206;1009,013157;0;0;0;0;;;;;;;;;;;;
19288,40833;18570,88674;17847,38579;17117,85567;16382,24614;15640,50652;14892,58574;14138,43229;13377,99423;12611,21918;11838,05434;11058,44646;10272,34185;9479,686361;8680,425414;7874,503959;7061,866492;6242,457046;5416,219188;4583,096014;3743,030148;2895,963732;2041,83843;1180,595417;312,175379;0;0;0;0;0;0;0;0;0;0;0
29065,20833;28122,62674;27172,19029;26213,83354;25247,49049;24273,09458;23290,5787;22299,87519;21300,91582;20293,63178;19277,95371;18253,81166;17221,13509;16179,85288;15129,89332;14071,1841;13003,6523;11927,2244;10841,82627;9747,38316;8643,819686;7531,05985;6409,027016;5277,643908;4136,832607;2986,514545;1826,6105;657,0405874;0;0;0;0;0;0;0;0
